year_month	year	month	quarter	year_quarter
2025-01	2025	1	1	2025-1
2025-02	2025	2	1	2025-1
2025-03	2025	3	1	2025-1
2025-04	2025	4	2	2025-2
2025-05	2025	5	2	2025-2
2025-06	2025	6	2	2025-2
2025-07	2025	7	3	2025-3
2025-08	2025	8	3	2025-3
2025-09	2025	9	3	2025-3
2025-10	2025	10	4	2025-4
2025-11	2025	11	4	2025-4
2025-12	2025	12	4	2025-4
