year_month	year	month	quarter	year_quarter
2024-03	2024	3	1	2024-1
2024-04	2024	4	2	2024-2
2024-05	2024	5	2	2024-2
2024-06	2024	6	2	2024-2
2024-07	2024	7	3	2024-3
2024-08	2024	8	3	2024-3
2024-09	2024	9	3	2024-3
2024-10	2024	10	4	2024-4
2024-11	2024	11	4	2024-4
2024-12	2024	12	4	2024-4
2025-01	2025	1	1	2025-1
2025-02	2025	2	1	2025-1
